"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1512","get started link","chromium","Tue Feb 04 16:55:16 UTC 2025","passed","Tue Feb 04 16:55:17 UTC 2025","","example.spec.ts","",""
"","5918","has title","webkit","Tue Feb 04 16:55:32 UTC 2025","failed","Tue Feb 04 16:55:38 UTC 2025","","example.spec.ts","",""
"","5979","has title","chromium","Tue Feb 04 16:55:31 UTC 2025","failed","Tue Feb 04 16:55:37 UTC 2025","","example.spec.ts","",""
"","6379","has title","firefox","Tue Feb 04 16:55:34 UTC 2025","failed","Tue Feb 04 16:55:40 UTC 2025","","example.spec.ts","",""
"","5368","get started link","webkit","Tue Feb 04 16:55:19 UTC 2025","passed","Tue Feb 04 16:55:24 UTC 2025","","example.spec.ts","",""
"","3752","get started link","firefox","Tue Feb 04 16:55:16 UTC 2025","passed","Tue Feb 04 16:55:20 UTC 2025","","example.spec.ts","",""
