"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6520","has title","firefox","Tue Feb 04 16:59:07 UTC 2025","failed","Tue Feb 04 16:59:14 UTC 2025","","example.spec.ts","",""
"","1533","get started link","chromium","Tue Feb 04 16:58:48 UTC 2025","passed","Tue Feb 04 16:58:49 UTC 2025","","example.spec.ts","",""
"","6190","has title","chromium","Tue Feb 04 16:59:02 UTC 2025","failed","Tue Feb 04 16:59:09 UTC 2025","","example.spec.ts","",""
"","6091","has title","webkit","Tue Feb 04 16:59:07 UTC 2025","failed","Tue Feb 04 16:59:13 UTC 2025","","example.spec.ts","",""
"","4074","get started link","firefox","Tue Feb 04 16:58:48 UTC 2025","passed","Tue Feb 04 16:58:52 UTC 2025","","example.spec.ts","",""
"","5634","get started link","webkit","Tue Feb 04 16:58:50 UTC 2025","passed","Tue Feb 04 16:58:56 UTC 2025","","example.spec.ts","",""
